datetime,open,high,low,close,average,sma10,sma20,sma50,ema10,ema20,ema50
2005-05-03 00:00:00,1.2866,1.2915,1.258,1.2635,1.27475,1.30141,1.30692,1.2731,1.29898,1.30539,1.27313
2005-05-10 00:00:00,1.2628,1.2692,1.2534,1.2578,1.2613,1.29422,1.30203,1.27384,1.29123,1.3001,1.2736
2005-05-17 00:00:00,1.2569,1.2632,1.2462,1.2473,1.2547,1.28598,1.29825,1.27463,1.28314,1.29617,1.27424
2005-05-24 00:00:00,1.2473,1.2487,1.216,1.2257,1.23235,1.27836,1.29401,1.27513,1.27418,1.29108,1.27429
2005-05-31 00:00:00,1.2262,1.2355,1.2027,1.2114,1.2191,1.27089,1.28984,1.27524,1.26618,1.28648,1.27414
2005-06-07 00:00:00,1.2118,1.2291,1.2015,1.2147,1.2153,1.2634,1.28543,1.27514,1.25902,1.2821,1.27398
2005-06-14 00:00:00,1.2153,1.2208,1.1983,1.2165,1.20955,1.25528,1.28102,1.27463,1.25113,1.27762,1.27336
2005-06-21 00:00:00,1.2168,1.2176,1.1886,1.1902,1.2031,1.24519,1.27708,1.27393,1.24137,1.27355,1.27255
2005-06-28 00:00:00,1.1901,1.2087,1.187,1.2075,1.19785,1.2357,1.27206,1.27335,1.23226,1.26852,1.27187
2005-07-05 00:00:00,1.2075,1.2258,1.2012,1.2054,1.2135,1.22815,1.26696,1.27343,1.22682,1.26441,1.27226
